"namespace","tripleCount"
"https://growgraph.dev/fca/appeal/fca--23-83--132","54"
"https://growgraph.dev/fca/appeal/fca--23-83--458","54"
"https://growgraph.dev/fca/appeal/fca--21-85--524","53"
"https://growgraph.dev/fca/appeal/fca--21-86--211","53"
"https://growgraph.dev/fca/appeal/fca--21-87--002","53"
"https://growgraph.dev/fca/appeal/fca--22-84--208","53"
"https://growgraph.dev/fca/appeal/fca--22-84--680","53"
"https://growgraph.dev/fca/appeal/fca--22-85--573","53"
"https://growgraph.dev/fca/appeal/fca--22-86--222","53"
"https://growgraph.dev/fca/appeal/fca--22-86--481","53"
"https://growgraph.dev/fca/appeal/fca--23-82--054","53"
"https://growgraph.dev/fca/appeal/fca--22-80--897","52"
"https://growgraph.dev/fca/appeal/fca--22-81--683","52"
"https://growgraph.dev/fca/appeal/fca--22-82--156","52"
"https://growgraph.dev/fca/appeal/fca--22-84--020","52"
"https://growgraph.dev/fca/appeal/fca--22-84--426","52"
"https://growgraph.dev/fca/appeal/fca--22-85--633","52"
"https://growgraph.dev/fca/appeal/fca--22-86--877","52"
"https://growgraph.dev/fca/appeal/fca--23-80--595","52"
"https://growgraph.dev/fca/appeal/fca--23-83--136","52"
"https://growgraph.dev/fca/appeal/fca--23-83--147","52"
"https://growgraph.dev/fca/appeal/fca--23-85--301","52"
"https://growgraph.dev/fca/appeal/fca--21-85--940","51"
"https://growgraph.dev/fca/appeal/fca--21-87--417","51"
"https://growgraph.dev/fca/appeal/fca--22-82--185","51"
"https://growgraph.dev/fca/appeal/fca--22-83--564","51"
"https://growgraph.dev/fca/appeal/fca--22-83--735","51"
"https://growgraph.dev/fca/appeal/fca--22-86--332","51"
"https://growgraph.dev/fca/appeal/fca--22-86--893","51"
"https://growgraph.dev/fca/appeal/fca--22-87--519","51"
"https://growgraph.dev/fca/appeal/fca--23-81--108","51"
"https://growgraph.dev/fca/appeal/fca--23-81--164","51"
"https://growgraph.dev/fca/appeal/fca--23-83--381","51"
"https://growgraph.dev/fca/appeal/fca--23-86--225","51"
"https://growgraph.dev/fca/appeal/fca--21-82--844","50"
"https://growgraph.dev/fca/appeal/fca--21-86--326","50"
"https://growgraph.dev/fca/appeal/fca--21-87--217","50"
"https://growgraph.dev/fca/appeal/fca--21-87--442","50"
"https://growgraph.dev/fca/appeal/fca--22-81--289","50"
"https://growgraph.dev/fca/appeal/fca--22-81--956","50"
"https://growgraph.dev/fca/appeal/fca--22-84--137","50"
"https://growgraph.dev/fca/appeal/fca--22-86--315","50"
"https://growgraph.dev/fca/appeal/fca--22-86--765","50"
"https://growgraph.dev/fca/appeal/fca--22-87--318","50"
"https://growgraph.dev/fca/appeal/fca--22-87--423","50"
"https://growgraph.dev/fca/appeal/fca--22-87--559","50"
"https://growgraph.dev/fca/appeal/fca--23-83--022","50"
"https://growgraph.dev/fca/appeal/fca--23-85--841","50"
"https://growgraph.dev/fca/appeal/fca--23-90--010","50"
"https://growgraph.dev/fca/appeal/fca--21-82--469","49"
"https://growgraph.dev/fca/appeal/fca--21-83--785","49"
"https://growgraph.dev/fca/appeal/fca--21-85--572","49"
"https://growgraph.dev/fca/appeal/fca--21-87--163","49"
"https://growgraph.dev/fca/appeal/fca--22-80--917","49"
"https://growgraph.dev/fca/appeal/fca--22-81--716","49"
"https://growgraph.dev/fca/appeal/fca--22-82--215","49"
"https://growgraph.dev/fca/appeal/fca--22-83--147","49"
"https://growgraph.dev/fca/appeal/fca--22-83--405","49"
"https://growgraph.dev/fca/appeal/fca--22-84--647","49"
"https://growgraph.dev/fca/appeal/fca--22-85--450","49"
"https://growgraph.dev/fca/appeal/fca--22-85--475","49"
"https://growgraph.dev/fca/appeal/fca--22-85--699","49"
"https://growgraph.dev/fca/appeal/fca--22-86--219","49"
"https://growgraph.dev/fca/appeal/fca--22-87--240","49"
"https://growgraph.dev/fca/appeal/fca--22-87--246","49"
"https://growgraph.dev/fca/appeal/fca--23-82--881","49"
"https://growgraph.dev/fca/appeal/fca--23-83--085","49"
"https://growgraph.dev/fca/appeal/fca--23-84--429","49"
"https://growgraph.dev/fca/appeal/fca--23-85--179","49"
"https://growgraph.dev/fca/appeal/fca--23-85--536","49"
"https://growgraph.dev/fca/appeal/fca--20-85--633","48"
"https://growgraph.dev/fca/appeal/fca--21-82--245","48"
"https://growgraph.dev/fca/appeal/fca--22-83--180","48"
"https://growgraph.dev/fca/appeal/fca--22-83--322","48"
